,date_time,price,volume,epoch
1122,2020-09-11 13:34:40.200250880,183.01,100,1599831280200250880
1123,2020-09-11 13:34:40.200996864,183.005,100,1599831280200996864
1124,2020-09-11 13:34:42.315312384,183.005,15,1599831282315312384
1125,2020-09-11 13:34:42.636995328,183.0,1000,1599831282636995328
1126,2020-09-11 13:34:44.879827968,182.98,100,1599831284879827968
1127,2020-09-11 13:34:44.923206400,182.97,55,1599831284923206400
1128,2020-09-11 13:34:44.923206400,182.97,100,1599831284923206400
1129,2020-09-11 13:34:45.053605632,182.96,100,1599831285053605632
1130,2020-09-11 13:34:46.555500800,182.93,1000,1599831286555500800
1131,2020-09-11 13:34:46.664204288,182.93,100,1599831286664204288
1132,2020-09-11 13:34:46.818305792,182.91,22,1599831286818305792
1133,2020-09-11 13:34:47.091105792,182.9,4,1599831287091105792
1134,2020-09-11 13:34:47.288515840,182.88,2,1599831287288515840
1135,2020-09-11 13:34:47.288519424,182.88,10,1599831287288519424
1136,2020-09-11 13:34:47.431155968,182.863,2,1599831287431155968
1137,2020-09-11 13:34:47.489969152,182.88,200,1599831287489969152
1138,2020-09-11 13:34:47.490118912,182.88,100,1599831287490118912
1139,2020-09-11 13:34:47.506302464,182.88,100,1599831287506302464
1140,2020-09-11 13:34:49.855273216,182.9099,2637,1599831289855273216
1141,2020-09-11 13:34:50.074725632,182.895,5,1599831290074725632
1142,2020-09-11 13:34:50.893729792,182.8911,20,1599831290893729792
1143,2020-09-11 13:34:50.907011328,182.89,100,1599831290907011328
1144,2020-09-11 13:34:50.907051264,182.89,86,1599831290907051264
1145,2020-09-11 13:34:50.907066368,182.89,14,1599831290907066368
1146,2020-09-11 13:34:50.907592704,182.89,200,1599831290907592704
1147,2020-09-11 13:34:51.446916864,182.89,100,1599831291446916864
1148,2020-09-11 13:34:51.447346688,182.9,100,1599831291447346688
1149,2020-09-11 13:34:52.538292992,182.9,1,1599831292538292992
1150,2020-09-11 13:34:52.632898048,182.9,1,1599831292632898048
1151,2020-09-11 13:34:52.750994944,182.89,100,1599831292750994944
1152,2020-09-11 13:34:52.787626240,182.89,1,1599831292787626240
1153,2020-09-11 13:34:53.149978624,182.8683,1,1599831293149978624
1154,2020-09-11 13:34:53.306412288,182.89,100,1599831293306412288
1155,2020-09-11 13:34:53.306416896,182.89,100,1599831293306416896
1156,2020-09-11 13:34:53.306416896,182.89,600,1599831293306416896
